ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
735,MH156,0,0,164203.18,578940.82,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
746,MH157,0,0,164221.24,578939.51,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
756,MH158,0,0,163670.77,580409.07,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
757,MH159,0,0,164245.07,578936.93,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
758,MH160,0,0,164871.42,579107.77,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
760,MH161,0,0,165227.03,580006.04,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
761,MH162,0,0,165164.45,580004.03,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
762,MH163,0,0,165107.69,580003.45,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
763,MH164,0,0,165009.79,579827.75,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
764,MH165,0,0,165001.61,579797.92,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
765,MH166,0,0,164955.64,579685.7,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
768,MH167,0,0,164259.62,578939.21,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
769,MH168,0,0,163963.72,580499.85,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
770,MH169,0,0,163963.49,580505.97,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
771,MH170,0,0,163963.4,580508.51,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
772,MH171,0,0,163963.28,580511.64,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
779,MH172,0,0,164285.73,578934.59,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
790,MH173,0,0,164306.95,578934.17,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
793,MH174,0,0,164505.03,581223.01,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
798,MH175,0,0,164463.3,580368.13,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
