ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
1724,MH291,0.0,0.0,164205.82,578700.34,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1734,MH292,0.0,0.0,164362.68,579947.32,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1735,MH293,0.0,0.0,164207.95,578733.78,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1736,MH294,0.0,0.0,163960.13,579931.01,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1737,MH295,0.0,0.0,164278.78,580032.82,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1738,MH296,0.0,0.0,163877.58,579631.44,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1740,MH298,0.0,0.0,163888.72,579695.22,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1742,MH300,0.0,0.0,164027.52,579672.96,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1745,MH303,0.0,0.0,164143.9,580565.16,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1746,MH304,0.0,0.0,164020.25,578653.78,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1748,MH306,0.0,0.0,164114.6,580758.61,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1749,MH307,147.86,147.86,163969.34,579643.69,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1757,MH308,0.0,0.0,164141.87,578644.09,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1774,MH310,123.13,123.13,164116.11,581073.34,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1790,MH312,0.0,0.0,164082.07,578648.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1801,MH313,0.0,0.0,164109.58,578646.07,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1812,MH314,0.0,0.0,162949.75,579623.67,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1813,MH315,0.0,0.0,164169.08,578641.9,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1819,MH316,150.33,150.33,164330.58,579427.54,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1824,MH317,0.0,0.0,164200.15,578639.3,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1846,MH319,0.0,0.0,164166.55,578615.68,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1857,MH320,0.0,0.0,164106.75,578621.2,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1879,MH322,0.0,0.0,164009.52,578869.78,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1906,MH325,148.48,148.48,164021.62,579656.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1918,MH327,144.79,144.79,164167.47,579913.78,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1923,MH328,0.0,0.0,162971.0,579650.99,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1924,MH329,0.0,0.0,163993.34,578653.3,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1935,MH330,0.0,0.0,163994.48,578669.64,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1979,MH334,0.0,0.0,163999.97,578748.35,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1987,MH335,145.96,145.96,164118.35,579786.27,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
1990,MH336,0.0,0.0,164225.2,578592.49,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2001,MH337,0.0,0.0,164228.83,578637.43,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2029,MH340,142.35,142.35,164351.45,579992.5,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2034,MH341,0.0,0.0,162991.46,579628.51,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2035,MH342,0.0,0.0,164291.18,578632.22,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2038,MH343,143.11,143.11,164344.5,580011.55,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2046,MH344,0.0,0.0,164309.36,578630.84,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2068,MH346,0.0,0.0,164350.98,578627.54,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
